corpid,name,ticker,industry,weight
1,Amazon.com Inc.,AMZN,Internet & Direct Marketing Retail,22.3889
2,Home Depot Inc.,HD,Specialty Retail,11.0524
3,McDonald's Corporation,MCD,Hotels Restaurants & Leisure,6.3529
4,NIKE Inc.,NKE,Textiles Apparel & Luxury Goods,4.90304
5,Starbucks Corporation,SBUX,Hotels Restaurants & Leisure,4.24998
6,Lowe's Companies Inc.,LOW,Specialty Retail,3.76517
7,Booking Holdings Inc.,BKNG,Internet & Direct Marketing Retail,3.40773
8,TJX Companies Inc,TJX,Specialty Retail,3.10596
9,Target Corporation,TGT,Multiline Retail,2.44804
10,General Motors Company,GM,Automobiles,2.09514
11,Ross Stores Inc.,ROST,Specialty Retail,1.78651
12,Dollar General Corporation,DG,Multiline Retail,1.77342
13,Marriott International Inc.,MAR,Hotels Restaurants & Leisure,1.57595
14,Ford Motor Company,F,Automobiles,1.50944
15,O'Reilly Automotive Inc.,ORLY,Specialty Retail,1.45946
16,Yum! Brands Inc.,YUM,Hotels Restaurants & Leisure,1.31385
17,AutoZone Inc.,AZO,Specialty Retail,1.23872
18,Hilton Worldwide Holdings Inc,HLT,Hotels Restaurants & Leisure,1.2295
19,V.F. Corporation,VFC,Textiles Apparel & Luxury Goods,1.22239
20,eBay Inc.,EBAY,Internet & Direct Marketing Retail,1.19181
21,Dollar Tree Inc.,DLTR,Multiline Retail,1.15305
22,Aptiv PLC,APTV,Auto Components,1.07102
23,Royal Caribbean Cruises Ltd.,RCL,Hotels Restaurants & Leisure,0.859993
24,Las Vegas Sands Corp.,LVS,Hotels Restaurants & Leisure,0.850949
25,Chipotle Mexican Grill Inc.,CMG,Hotels Restaurants & Leisure,0.814487
26,Carnival Corporation,CCL,Hotels Restaurants & Leisure,0.785108
27,Best Buy Co. Inc.,BBY,Specialty Retail,0.763813
28,D.R. Horton Inc.,DHI,Household Durables,0.747268
29,Lennar Corporation,LEN,Household Durables,0.705913
30,MGM Resorts International,MGM,Hotels Restaurants & Leisure,0.696249
31,CarMax Inc.,KMX,Specialty Retail,0.67499
32,Genuine Parts Company,GPC,Distributors,0.673475
33,Ulta Beauty Inc,ULTA,Specialty Retail,0.621607
34,Darden Restaurants Inc.,DRI,Hotels Restaurants & Leisure,0.603847
35,Expedia Group Inc.,EXPE,Internet & Direct Marketing Retail,0.598183
36,Garmin Ltd.,GRMN,Household Durables,0.594429
37,Tiffany & Co.,TIF,Specialty Retail,0.588772
38,Wynn Resorts Limited,WYNN,Hotels Restaurants & Leisure,0.526622
39,Advance Auto Parts Inc.,AAP,Specialty Retail,0.523558
40,Hasbro Inc.,HAS,Leisure Products,0.519394
41,Tractor Supply Company,TSCO,Specialty Retail,0.490352
42,Norwegian Cruise Line Holdings Ltd.,NCLH,Hotels Restaurants & Leisure,0.487767
43,LKQ Corporation,LKQ,Distributors,0.468672
44,NVR Inc.,NVR,Household Durables,0.463023
45,Whirlpool Corporation,WHR,Household Durables,0.430243
46,PulteGroup Inc.,PHM,Household Durables,0.424936
47,BorgWarner Inc.,BWA,Auto Components,0.4113
48,Mohawk Industries Inc.,MHK,Household Durables,0.394653
49,Kohl's Corporation,KSS,Multiline Retail,0.391174
50,Tapestry Inc.,TPR,Textiles Apparel & Luxury Goods,0.336415
51,Newell Brands Inc,NWL,Household Durables,0.330857
52,PVH Corp.,PVH,Textiles Apparel & Luxury Goods,0.317557
53,Leggett & Platt Incorporated,LEG,Household Durables,0.317415
54,Harley-Davidson Inc.,HOG,Automobiles,0.26978
55,Ralph Lauren Corporation,RL,Textiles Apparel & Luxury Goods,0.262981
56,Hanesbrands Inc.,HBI,Textiles Apparel & Luxury Goods,0.253536
57,Capri Holdings Limited,CPRI,Textiles Apparel & Luxury Goods,0.236848
58,H&R Block Inc.,HRB,Diversified Consumer Services,0.221306
59,Macy's Inc,M,Multiline Retail,0.219737
60,L Brands Inc.,LB,Specialty Retail,0.184088
61,Nordstrom Inc.,JWN,Multiline Retail,0.174064
62,Gap Inc.,GPS,Specialty Retail,0.169662
63,Under Armour Inc.,UAA,Textiles Apparel & Luxury Goods,0.282194
